"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4995","Example #5","chromium-ui","Tue Sep 23 11:59:50 EEST 2025","failed","Tue Sep 23 11:59:55 EEST 2025","Login with Invalid or Missing Credentials > Login attempt with invalid or missing credentials",".features-gen\chromium\src\features\ui\login_negative.feature.spec.js","",""
"","17522","Example #4","chromium-ui","Tue Sep 23 11:59:34 EEST 2025","failed","Tue Sep 23 11:59:51 EEST 2025","Login with Invalid or Missing Credentials > Login attempt with invalid or missing credentials",".features-gen\chromium\src\features\ui\login_negative.feature.spec.js","",""
"","301","List users for page 1","api-bdd","Tue Sep 23 11:59:30 EEST 2025","passed","Tue Sep 23 11:59:30 EEST 2025","Users API > List users for page <page>",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","236","Get non-existing user by id -1","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API > Get non-existing user by id <id>",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","362","Delete user 3","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:32 EEST 2025","Users API > Delete user <id>",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","203","Update user 1 with a new job","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API > Update user <id> with a new job",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","242","Example #1","api-bdd","Tue Sep 23 11:59:30 EEST 2025","passed","Tue Sep 23 11:59:30 EEST 2025","Auth API > Login with invalid creds",".features-gen\api\src\features\api\auth.feature.spec.js","",""
"","870","Example #2","api-bdd","Tue Sep 23 11:59:29 EEST 2025","passed","Tue Sep 23 11:59:30 EEST 2025","Auth API > Register with invalid creds",".features-gen\api\src\features\api\auth.feature.spec.js","",""
"","314","Get existing user by id 1","api-bdd","Tue Sep 23 11:59:30 EEST 2025","passed","Tue Sep 23 11:59:30 EEST 2025","Users API > Get existing user by id <id>",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","317","Get existing user by id 4","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API > Get existing user by id <id>",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","160","Update user 2 with a new job","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API > Update user <id> with a new job",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","164","Get existing user by id 6","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API > Get existing user by id <id>",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","17557","Example #3","chromium-ui","Tue Sep 23 11:59:34 EEST 2025","failed","Tue Sep 23 11:59:51 EEST 2025","Login with Invalid or Missing Credentials > Login attempt with invalid or missing credentials",".features-gen\chromium\src\features\ui\login_negative.feature.spec.js","",""
"","242","Create a random user","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","207","Update user 3 with a new job","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API > Update user <id> with a new job",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","247","Get non-existing user by id 999","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API > Get non-existing user by id <id>",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","190","Delete user 1","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API > Delete user <id>",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","16650","Example #2","chromium-ui","Tue Sep 23 11:59:34 EEST 2025","passed","Tue Sep 23 11:59:50 EEST 2025","Login with Invalid or Missing Credentials > Login attempt with invalid or missing credentials",".features-gen\chromium\src\features\ui\login_negative.feature.spec.js","",""
"","265","Example #1","api-bdd","Tue Sep 23 11:59:30 EEST 2025","passed","Tue Sep 23 11:59:30 EEST 2025","Auth API > Login with valid creds",".features-gen\api\src\features\api\auth.feature.spec.js","",""
"","229","Authenticate and keep token in client","api-bdd","Tue Sep 23 11:59:30 EEST 2025","passed","Tue Sep 23 11:59:30 EEST 2025","Auth API",".features-gen\api\src\features\api\auth.feature.spec.js","",""
"","246","Example #2","api-bdd","Tue Sep 23 11:59:30 EEST 2025","passed","Tue Sep 23 11:59:30 EEST 2025","Auth API > Login with invalid creds",".features-gen\api\src\features\api\auth.feature.spec.js","",""
"","276","Get non-existing user by id 0","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API > Get non-existing user by id <id>",".features-gen\api\src\features\api\users.feature.spec.js","",""
"","5704","Login with valid credentials","chromium-ui","Tue Sep 23 11:59:50 EEST 2025","passed","Tue Sep 23 11:59:56 EEST 2025","Login with Valid Credentials",".features-gen\chromium\src\features\ui\login_positive.feature.spec.js","",""
"","921","Example #1","api-bdd","Tue Sep 23 11:59:29 EEST 2025","passed","Tue Sep 23 11:59:30 EEST 2025","Auth API > Register with invalid creds",".features-gen\api\src\features\api\auth.feature.spec.js","",""
"","140","Get non-existing user by id 23","api-bdd","Tue Sep 23 11:59:31 EEST 2025","passed","Tue Sep 23 11:59:31 EEST 2025","Users API > Get non-existing user by id <id>",".features-gen\api\src\features\api\users.feature.spec.js","",""
